epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2580.92,1.95554,0.85528,1.02837,0.36745,0.25275,0.19568,0.05652,3.3119,2.81182,1.3787,0.0010595,0.0010595,0.0010595
59,2626.09,1.95029,0.8656,1.0216,0.44805,0.29894,0.25929,0.08565,2.882,2.69782,1.2909,0.001043,0.001043,0.001043
60,2669.94,1.93263,0.84873,1.01653,0.36511,0.25206,0.19729,0.0578,3.25947,2.92153,1.38541,0.0010265,0.0010265,0.0010265
61,2712.16,1.96569,0.85189,1.02814,0.39896,0.26629,0.21597,0.06493,3.10563,2.87057,1.33911,0.00101,0.00101,0.00101
62,2756.01,1.93754,0.85056,1.02917,0.45731,0.30675,0.2622,0.07926,3.03087,2.90932,1.31556,0.0009935,0.0009935,0.0009935
63,2798.69,1.90365,0.83629,1.0103,0.4587,0.30958,0.27598,0.07969,3.04499,2.85195,1.31227,0.000977,0.000977,0.000977
64,2842.65,1.88129,0.83417,1.00621,0.43885,0.28927,0.24161,0.07075,3.3147,2.84056,1.40328,0.0009605,0.0009605,0.0009605
65,2887.64,1.89264,0.83425,1.01074,0.47059,0.31757,0.2857,0.10788,2.83949,2.90743,1.29742,0.000944,0.000944,0.000944
66,2929.51,1.87392,0.84565,1.00944,0.47725,0.31182,0.27625,0.09208,2.86095,2.89539,1.29017,0.0009275,0.0009275,0.0009275
67,2974.22,1.88666,0.82854,1.00451,0.50032,0.32451,0.29294,0.12234,2.65028,2.78961,1.24283,0.000911,0.000911,0.000911
68,3021.82,1.90992,0.84813,1.00737,0.45885,0.28992,0.25662,0.08285,3.1471,2.83721,1.36437,0.0008945,0.0008945,0.0008945
69,3065.31,1.89438,0.82246,1.01077,0.38997,0.26778,0.21955,0.06333,3.30489,2.99342,1.40613,0.000878,0.000878,0.000878
70,3108.47,1.92365,0.83585,1.01267,0.45392,0.29462,0.25431,0.08,3.12347,2.94366,1.35657,0.0008615,0.0008615,0.0008615
71,3153.35,1.84797,0.82189,1.00416,0.5126,0.32698,0.29697,0.11343,2.84834,2.83358,1.28841,0.000845,0.000845,0.000845
72,3198.07,1.88493,0.81284,1.01083,0.49778,0.3351,0.29955,0.13782,2.55164,2.84536,1.24334,0.0008285,0.0008285,0.0008285
73,3247.22,1.88387,0.83876,1.00046,0.46817,0.31082,0.26734,0.08838,2.99906,2.94123,1.32793,0.000812,0.000812,0.000812
74,3289.58,1.8815,0.8196,1.00484,0.50087,0.32379,0.28779,0.11092,2.76265,2.81094,1.26137,0.0007955,0.0007955,0.0007955
75,3334.38,1.84174,0.81879,1.00145,0.50029,0.32388,0.28816,0.115,2.72569,2.95328,1.26288,0.000779,0.000779,0.000779
76,3380.28,1.85881,0.81711,1.00888,0.5128,0.32931,0.29993,0.12752,2.65241,2.75797,1.24478,0.0007625,0.0007625,0.0007625
77,3422.11,1.79876,0.8174,0.9896,0.45188,0.3022,0.25981,0.08413,3.1308,2.91099,1.36905,0.000746,0.000746,0.000746
78,3466.71,1.85929,0.83629,0.99445,0.47549,0.3126,0.26808,0.08862,2.91923,2.96832,1.30068,0.0007295,0.0007295,0.0007295
79,3511.47,1.82447,0.82188,1.00149,0.49812,0.32353,0.28965,0.10682,2.89417,2.85596,1.2933,0.000713,0.000713,0.000713
80,3554.87,1.80112,0.81258,0.98898,0.514,0.3323,0.2993,0.12442,2.71236,2.8501,1.26687,0.0006965,0.0006965,0.0006965
81,3600.7,1.84974,0.82097,0.98945,0.48345,0.32094,0.28261,0.10057,2.78859,2.95555,1.28809,0.00068,0.00068,0.00068
82,3645.84,1.80886,0.808,0.97798,0.48912,0.31677,0.28551,0.10806,2.87394,2.9308,1.29083,0.0006635,0.0006635,0.0006635
83,3688.93,1.76798,0.80093,0.97751,0.50472,0.32599,0.29337,0.1178,2.76777,2.94193,1.27569,0.000647,0.000647,0.000647
84,3733.06,1.78368,0.80661,0.98915,0.50645,0.32667,0.29574,0.1249,2.73154,2.92283,1.27604,0.0006305,0.0006305,0.0006305
85,3776.51,1.85368,0.81298,0.99953,0.49465,0.32691,0.29354,0.12028,2.76754,2.95017,1.27794,0.000614,0.000614,0.000614
86,3819.51,1.7939,0.79549,0.99327,0.48115,0.31448,0.27514,0.09655,2.90426,3.0001,1.31376,0.0005975,0.0005975,0.0005975
87,3864.71,1.80359,0.80748,0.99256,0.50298,0.32489,0.29206,0.12139,2.72021,2.85883,1.26595,0.000581,0.000581,0.000581
88,3907.96,1.74402,0.7942,0.97806,0.49596,0.32493,0.29819,0.12306,2.84748,2.90412,1.2959,0.0005645,0.0005645,0.0005645
89,3952.27,1.79383,0.79955,0.98485,0.48898,0.32646,0.28779,0.11282,2.74523,3.00549,1.28343,0.000548,0.000548,0.000548
90,3999.75,1.78427,0.79785,0.98266,0.50161,0.32814,0.29142,0.11692,2.75058,2.88575,1.27904,0.0005315,0.0005315,0.0005315
91,4044,1.77367,0.78656,0.98003,0.5046,0.33118,0.29786,0.11559,2.7567,2.91848,1.28029,0.000515,0.000515,0.000515
92,4089.6,1.77418,0.78495,0.97995,0.49056,0.3192,0.29043,0.11069,2.89202,3.01054,1.31486,0.0004985,0.0004985,0.0004985
93,4135.57,1.7924,0.79561,0.98573,0.48846,0.31963,0.27978,0.10347,2.90864,3.00877,1.32112,0.000482,0.000482,0.000482
94,4178.72,1.78376,0.78577,0.97703,0.50157,0.32804,0.29156,0.11602,2.76074,2.97105,1.28849,0.0004655,0.0004655,0.0004655
95,4223.47,1.76394,0.78981,0.98409,0.49248,0.31959,0.28452,0.11431,2.81653,2.99547,1.29616,0.000449,0.000449,0.000449
96,4268.54,1.78445,0.79893,0.99041,0.49794,0.32728,0.28865,0.10848,2.86172,2.85396,1.29605,0.0004325,0.0004325,0.0004325
97,4312.58,1.73924,0.78237,0.98071,0.49563,0.32859,0.2918,0.11708,2.86285,2.95942,1.29643,0.000416,0.000416,0.000416
98,4356.96,1.74857,0.77534,0.97744,0.50708,0.33172,0.29549,0.12686,2.77196,2.9595,1.28636,0.0003995,0.0003995,0.0003995
99,4402.41,1.81267,0.78814,0.99058,0.5116,0.3304,0.30127,0.12538,2.79356,2.93286,1.29532,0.000383,0.000383,0.000383
100,4445.67,1.71207,0.76773,0.97257,0.48359,0.3249,0.28058,0.10359,2.8148,3.06677,1.29228,0.0003665,0.0003665,0.0003665
101,4489.68,1.77463,0.78567,0.98324,0.49444,0.31861,0.28513,0.10007,3.02276,2.93876,1.34366,0.00035,0.00035,0.00035
102,4536.28,1.72902,0.78625,0.97401,0.512,0.32727,0.29593,0.12267,2.81683,3.0019,1.29939,0.0003335,0.0003335,0.0003335
103,4580.4,1.74461,0.78901,0.9712,0.51504,0.33632,0.30491,0.14171,2.61308,2.86235,1.25295,0.000317,0.000317,0.000317
104,4624.82,1.73729,0.78333,0.97123,0.51516,0.3292,0.29995,0.12642,2.79463,2.99624,1.29708,0.0003005,0.0003005,0.0003005
105,4670.5,1.72401,0.77626,0.97177,0.50568,0.33573,0.29883,0.12367,2.73991,2.95893,1.27368,0.000284,0.000284,0.000284
106,4714.72,1.71897,0.76638,0.97254,0.5185,0.33724,0.30531,0.13276,2.65381,3.00666,1.26418,0.0002675,0.0002675,0.0002675
107,4758.58,1.75065,0.77351,0.98093,0.51177,0.33202,0.29937,0.12853,2.75834,2.90815,1.29141,0.000251,0.000251,0.000251
108,4805.4,1.73466,0.76859,0.97292,0.51366,0.33672,0.3024,0.13117,2.69252,2.96873,1.27266,0.0002345,0.0002345,0.0002345
109,4849.52,1.73138,0.77832,0.97728,0.51326,0.33712,0.30176,0.12723,2.7676,2.96256,1.28922,0.000218,0.000218,0.000218
110,4894.54,1.69103,0.75846,0.97213,0.51604,0.33389,0.30065,0.12372,2.78235,2.98907,1.28583,0.0002015,0.0002015,0.0002015
111,4940.06,1.74216,0.7945,0.99066,0.48211,0.32228,0.28535,0.09805,2.94667,2.72906,1.31171,0.000185,0.000185,0.000185
112,4981.38,1.66623,0.77473,0.97902,0.4835,0.31692,0.27736,0.08678,3.06423,2.81368,1.33994,0.0001685,0.0001685,0.0001685
113,5026.38,1.60733,0.76831,0.96481,0.50043,0.33028,0.29139,0.11877,2.76531,2.89914,1.27744,0.000152,0.000152,0.000152
114,5067.59,1.59264,0.76271,0.96847,0.51195,0.33854,0.29996,0.13038,2.69729,2.92089,1.26361,0.0001355,0.0001355,0.0001355
115,5111.35,1.55643,0.76198,0.9629,0.51906,0.33844,0.30379,0.13615,2.60108,2.98813,1.25056,0.000119,0.000119,0.000119
116,5151.24,1.55161,0.7527,0.96014,0.51848,0.33891,0.30456,0.14423,2.5501,2.96885,1.23171,0.0001025,0.0001025,0.0001025
117,5196.38,1.55606,0.74855,0.96771,0.5173,0.3384,0.30336,0.14054,2.55072,2.95036,1.23234,8.6e-05,8.6e-05,8.6e-05
118,5237.63,1.56113,0.75983,0.96751,0.51608,0.33888,0.30331,0.14346,2.55477,2.93356,1.22818,6.95e-05,6.95e-05,6.95e-05
119,5282.29,1.53604,0.74531,0.94966,0.51922,0.34129,0.3061,0.14461,2.53984,2.96347,1.22886,5.3e-05,5.3e-05,5.3e-05
120,5331.56,1.54402,0.75427,0.95921,0.52169,0.34331,0.30782,0.14972,2.49005,2.96905,1.21772,3.65e-05,3.65e-05,3.65e-05
